 --planet list--
Orbital Eccentricity	Perihelion (106 km)	Diameter (km)	Rotation Period (hours)	name	Orbital Velocity (km/s)	Density (kg/m3)	Orbital Inclination (degrees)	Distance from Sun (106 km)	Obliquity to Orbit (degrees)	Ring System?	Surface Pressure (bars)	Number of Moons	Global Magnetic Field?	Mean Temperature (C)	Orbital Period (days)	Aphelion (106 km)	Gravity (m/s2)	Mass (1024kg)	Length of Day (hours)	Escape Velocity (km/s)
0.205	46.0	4879	1407.6	MERCURY 	47.4	5427	7.0	57.9	0.01	No	0	0	Yes	167	88.0	69.8	3.7	0.330	4222.6	4.3
0.007	107.5	12,104	-5832.5	 VENUS 	35.0	5243	3.4	108.2	177.4	No	92	0	No	464	224.7	108.9	8.9	4.87	2802.0	10.4
0.017	147.1	12,756	23.9	 EARTH 	29.8	5514	0.0	149.6	23.4	No	1	1	Yes	15	365.2	152.1	9.8	5.97	24.0	11.2
0.055	0.363*	3475	655.7	 MOON 	1.0	3340	5.1	0.384*	6.7	No	0	0	No	-20	27.3	0.406*	1.6	0.073	708.7	2.4
0.094	206.6	6792	24.6	 MARS 	24.1	3933	1.9	227.9	25.2	No	0.01	2	No	-65	687.0	249.2	3.7	0.642	24.7	5.0
0.049	740.5	142,984	9.9	 JUPITER 	13.1	1326	1.3	778.6	3.1	Yes	Unknown*	67	Yes	-110	4331	816.6	23.1	1898	9.9	59.5
0.057	1352.6	120,536	10.7	 SATURN 	9.7	687	2.5	1433.5	26.7	Yes	Unknown*	62	Yes	-140	10,747	1514.5	9.0	568	10.7	35.5
0.046	2741.3	51,118	-17.2	 URANUS 	6.8	1271	0.8	2872.5	97.8	Yes	Unknown*	27	Yes	-195	30,589	3003.6	8.7	86.8	17.2	21.3
0.011	4444.5	49,528	16.1	 NEPTUNE 	5.4	1638	1.8	4495.1	28.3	Yes	Unknown*	14	Yes	-200	59,800	4545.7	11.0	102	16.1	23.5
0.244	4436.8	2370	-153.3	 PLUTO 	4.7	2095	17.2	5906.4	122.5	No	0	5	Unk	-225	90,560	7375.9	0.7	0.0146	153.3	1.3

--moon data--
moon_name	planet_name	Moon
Moon	Earth	3476	27.322	0	1737.5±0.1	3.344±0.005	[1]	0.12
Phobos	Mars	28 X 20	0.319	1	11.1±0.15	1.872±0.076	[4]	0.071±0.012
Deimos	Mars	8	1.263	0	6.2±0.18	1.471±0.166	[4]	0.068±0.007
Hegemone	Jupiter	3	781.6	22	1.5	2.6		0.04
Adrastea	Jupiter	26 X 16	0.298	0	8.2±2.0	3		0.1±0.045
S/2003	Jupiter	2	732.44	57	1	2.6		0.04
S/2000	Jupiter	4	284.3	44	1	2.6		0.04
Thyone	Jupiter	4	615	62	2	2.6		0.04
Pasiphae	Jupiter	36	735	39	30	2.6		0.04
Eurydome	Jupiter	3	713	19	1.5	2.6		0.04
Themisto	Jupiter	8	130.07	61	4	2.6		0.04
Orthosie	Jupiter	2	617	38	1	2.6		0.04
Hermippe	Jupiter	4	630	24	2	2.6		0.04
Cyllene	Jupiter	2	737.8	12	1	2.6		0.04
Autonoe	Jupiter	4	753	6	2	2.6		0.04
Thelxinoe	Jupiter	2	628.09	60	1	2.6		0.04
Europa	Jupiter	3126	3.551	18	1560.8±0.5	3.013±0.005	[8]	0.67±0.03
Kore	Jupiter	2	779.2	32	1	2.6		0.04
Helike	Jupiter	4	233.8	23	2	2.6		0.04
Sinope	Jupiter	28	758	42	19	2.6		0.04
Sponde	Jupiter	2	732	43	1	2.6		0.04
Carme	Jupiter	30	692	8	23	2.6		0.04
Himalia	Jupiter	170	250.57	25	85	2.6		0.04
Praxidike	Jupiter	6.8	632	41	3.4	2.6		0.04
Chaldene	Jupiter	3.8	741	11	1.9	2.6		0.04
Metis	Jupiter	40	0.295	36	21.5±2.0	3		0.061±0.003
Arche	Jupiter	3	715.6	5	1.5	2.6		0.04
Amalthea	Jupiter	262 X 134	0.498	2	83.45±2.4	0.849±0.199	[8]	0.090±0.005
Magaclite	Jupiter	5.4	771	35
Eukelade	Jupiter	4	746.4	16	2	2.6		0.04
Leda	Jupiter	10	238.72	33	10	2.6		0.04
Taygete	Jupiter	5	687	58	2.5	2.6		0.04
Isonone	Jupiter	3.8	712	28
Elara	Jupiter	80	259.65	13	43	2.6		0.04
Thebe	Jupiter	100	0.675	59	49.3±2.0	3		0.047±0.003
Ananke	Jupiter	20	631	3	14	2.6		0.04
Mneme	Jupiter	2	620.04	37	1	2.6		0.04
Carpo	Jupiter	3	456.5	10	1.5	2.6		0.04
Iocaste	Jupiter	5.2	657	27	2.6	2.6		0.04
Lysithea	Jupiter	24	259.22	34	18	2.6		0.04
Kale	Jupiter	2	609	29	1	2.6		0.04
Harpalyke	Jupiter	4.3	595	21	2.2	2.6		0.04
Ganymede	Jupiter	5276	7.155	20	2631.2±1.7	1.942±0.005	[8]	0.43±0.02
Aitne	Jupiter	3	736	1	1.5	2.6		0.04
Euporie	Jupiter	2	534	17	1	2.6		0.04
Callisto	Jupiter	4,800	16.689	7	2410.3±1.5	1.834±0.004	[8]	0.17±0.02
Pasithee	Jupiter	2	715	40	1	2.6		0.04
Aoede	Jupiter	4	748.8	4	2	2.6		0.04
Io	Jupiter	3,629	1.769	26	1821.6±0.5	3.528±0.006	[8]	0.63±0.02
Kalyke	Jupiter	5.2	760	31	2.6	2.6		0.04
Kallichore	Jupiter	2	683	30	1	2.6		0.04
Callirrhoe	Jupiter	10	774	9	4.3	2.6		0.04
Erinome	Jupiter	3.2	672	14	1.6	2.6		0.04
Euanthe	Jupiter	3	622	15	1.5	2.6		0.04
S/2006	Saturn	6	1,142	50	2.5	2.3		0.04
Narvi	Saturn	8	956.2	31	3.5	2.3		0.04
Suttungr	Saturn	7	1016.8	44	3.5	2.3		0.06
Titan	Saturn	5150	15.945	58	2574.73±0.09	1.882±0.001	[27]	0.2
Siarnaq	Saturn	45	893.07	40	20	2.3		0.06
Pandora	Saturn	110 X 62	0.629	35	40.7±1.5	0.490±0.060	[54]	0.5
S/2007	Saturn	5	1,100	52	2	2.3		0.04
Mundilfari	Saturn	7	951.38	30	3.5	2.3		0.06
Bergelmir	Saturn	6	1,005.90	5	3	2.3		0.04
Epimetheus	Saturn	138 X 110	0.694	11	58.1±1.8	0.640±0.062	[54]	0.73±0.03
S/2004	Saturn	4	986	48	2	2.3		0.04
Methone	Saturn	3	1.01	28	1.6±0.6	0.5		?
Tarvos	Saturn	16	925.7	54	7.5	2.3		0.06
Atlas	Saturn	37 X 27	0.602	3	15.1±1.2	0.460±0.110	[54]	0.4
Skoll	Saturn	6	878.3	42	3	2.3		0.04
Pan	Saturn	19.32	0.575	34	14.1±1.3	0.420±0.150	[54]	0.5
Kiviuq	Saturn	17	449.22	26	8	2.3		0.06
