 --planet list--
Diameter (km)	Orbital Inclination (degrees)	Distance from Sun (106 km)	Mass (1024kg)
4879.0	7.0	57.9	0.33
12104.0	3.4	108.2	4.87
12756.0	0.0	149.6	5.97
3475.0	5.1	0.384	0.073
6792.0	1.9	227.9	0.642
142984.0	1.3	778.6	1898.0
120536.0	2.5	1433.5	568.0
51118.0	0.8	2872.5	86.8
49528.0	1.8	4495.1	102.0
2370.0	17.2	5906.4	0.0146
 G: 6.67408e-11

--moon data--
moon_name	planet_name	a	dia	number	r	rho	GM	albedo
Moon	Earth	3476	27.322	0	1737.5	3.344	4902.801	0.12
Phobos	Mars	24.0	0.319	1	11.1	1.872	0.0007112	0.071
Deimos	Mars	8	1.263	0	6.2	1.471	0.0000985	0.068
Hegemone	Jupiter	3	781.6	22	1.5	2.6	0.000003	0.04
Adrastea	Jupiter	21.0	0.298	0	8.2	3	0.0005	0.1
S/2003	Jupiter	2	732.44	57	1	2.6	0.000001	0.04
S/2000	Jupiter	4	284.3	44	1	2.6	0.000001	0.04
Thyone	Jupiter	4	615	62	2	2.6	0.000006	0.04
Pasiphae	Jupiter	36	735	39	30	2.6	0.02	0.04
Eurydome	Jupiter	3	713	19	1.5	2.6	0.000003	0.04
Themisto	Jupiter	8	130.07	61	4	2.6	0.000046	0.04
Orthosie	Jupiter	2	617	38	1	2.6	0.000001	0.04
Hermippe	Jupiter	4	630	24	2	2.6	0.000006	0.04
Cyllene	Jupiter	2	737.8	12	1	2.6	0.000001	0.04
Autonoe	Jupiter	4	753	6	2	2.6	0.000006	0.04
Thelxinoe	Jupiter	2	628.09	60	1	2.6	0.000001	0.04
Europa	Jupiter	3126	3.551	18	1560.8	3.013	3202.739	0.67
Kore	Jupiter	2	779.2	32	1	2.6	0.000001	0.04
Helike	Jupiter	4	233.8	23	2	2.6	0.000006	0.04
Sinope	Jupiter	28	758	42	19	2.6	0.005	0.04
Sponde	Jupiter	2	732	43	1	2.6	0.000001	0.04
Carme	Jupiter	30	692	8	23	2.6	0.0088	0.04
Himalia	Jupiter	170	250.57	25	85	2.6	0.45	0.04
Praxidike	Jupiter	6.8	632	41	3.4	2.6	0.000029	0.04
Chaldene	Jupiter	3.8	741	11	1.9	2.6	0.000005	0.04
Metis	Jupiter	40	0.295	36	21.5	3	0.008	0.061
Arche	Jupiter	3	715.6	5	1.5	2.6	0.000003	0.04
Amalthea	Jupiter	198.0	0.498	2	83.45	0.849	0.138	0.090
Eukelade	Jupiter	4	746.4	16	2	2.6	0.000006	0.04
Leda	Jupiter	10	238.72	33	10	2.6	0.00073	0.04
Taygete	Jupiter	5	687	58	2.5	2.6	0.000011	0.04
Elara	Jupiter	80	259.65	13	43	2.6	0.058	0.04
Thebe	Jupiter	100	0.675	59	49.3	3	0.1	0.047
Ananke	Jupiter	20	631	3	14	2.6	0.002	0.04
Mneme	Jupiter	2	620.04	37	1	2.6	0.000001	0.04
Carpo	Jupiter	3	456.5	10	1.5	2.6	0.000003	0.04
Iocaste	Jupiter	5.2	657	27	2.6	2.6	0.000013	0.04
Lysithea	Jupiter	24	259.22	34	18	2.6	0.0042	0.04
Kale	Jupiter	2	609	29	1	2.6	0.000001	0.04
Harpalyke	Jupiter	4.3	595	21	2.2	2.6	0.000008	0.04
Ganymede	Jupiter	5276	7.155	20	2631.2	1.942	9887.834	0.43
Aitne	Jupiter	3	736	1	1.5	2.6	0.000003	0.04
Euporie	Jupiter	2	534	17	1	2.6	0.000001	0.04
Callisto	Jupiter	4800	16.689	7	2410.3	1.834	7179.289	0.17
Pasithee	Jupiter	2	715	40	1	2.6	0.000001	0.04
Aoede	Jupiter	4	748.8	4	2	2.6	0.000006	0.04
Io	Jupiter	3629	1.769	26	1821.6	3.528	5959.916	0.63
Kalyke	Jupiter	5.2	760	31	2.6	2.6	0.000013	0.04
Kallichore	Jupiter	2	683	30	1	2.6	0.000001	0.04
Callirrhoe	Jupiter	10	774	9	4.3	2.6	0.000058	0.04
Erinome	Jupiter	3.2	672	14	1.6	2.6	0.000003	0.04
Euanthe	Jupiter	3	622	15	1.5	2.6	0.000003	0.04
S/2006	Saturn	6	1142	50	2.5	2.3	0	0.04
Narvi	Saturn	8	956.2	31	3.5	2.3	0.000023	0.04
Suttungr	Saturn	7	1016.8	44	3.5	2.3	0.000014	0.06
Titan	Saturn	5150	15.945	58	2574.73	1.882	8978.1382	0.2
Siarnaq	Saturn	45	893.07	40	20	2.3	0.0026	0.06
Pandora	Saturn	86.0	0.629	35	40.7	0.490	0.00924	0.5
S/2007	Saturn	5	1100	52	2	2.3	0	0.04
Mundilfari	Saturn	7	951.38	30	3.5	2.3	0.000014	0.06
