
Mars
Name and pronunciation		Diameter (km)	Mass (kg)	Semi-major	Orbital	Average moonrise	Inclination
Mars I	Phobos	22.2 km (13.8 mi)	10.8×1015	9,377 km	7.66	11.12 h (0.463 d)	1.1
Mars II	Deimos	12.6 km (7.8 mi)	2×1015	23,460 km	30.35	131 h (5.44 d)	0.93

Jupiter
Order	Label	Name	Diameter	Mass	Semi-major	Orbital period	Inclination	Eccentr.	Discovery	Discoverer[21]	Group
1	XVI	Metis	60 × 40 × 34	≈ 3.6	127690	+7h 4m 29s	0.06[37]	0.00002	1979	Synnott	Inner
2	XV	Adrastea	20 × 16 × 14	≈ 0.2	128690	+7h 9m 30s	0.03[37]	0.0015	1979	Jewitt	Inner
3	V	Amalthea	250 × 146 × 128	208	181366	+11h 57m 23s	0.374[37]	0.0032	1892	Barnard	Inner
4	XIV	Thebe	116 × 98 × 84	≈ 43	221889	+16h 11m 17s	1.076[37]	0.0175	1979	Synnott	Inner
5	I	Io	3660	8931900	421700	1.7691	0.050[37]	0.0041	1610	Galilei	Galilean
6	II	Europa	3121.6	4800000	671034	3.5512	0.471[37]	0.0094	1610	Galilei	Galilean
7	III	Ganymede	5262.4	14819000	1070412	7.1546	0.204[37]	0.0011	1610	Galilei	Galilean
8	IV	Callisto	4820.6	10759000	1882709	16.689	0.205[37]	0.0074	1610	Galilei	Galilean
9	XVIII	Themisto	8	0.069	7393216	129.87	45.762	0.2115	1975/2000	Kowal & Roemer/	Themisto
10	XIII	Leda	16	0.6	11187781	240.82	27.562	0.1673	1974	Kowal	Himalia
11	VI	Himalia	170	670	11451971	250.23	30.486	0.1513	1904	Perrine	Himalia
12	X	Lysithea	36	6.3	11740560	259.89	27.006	0.1322	1938	Nicholson	Himalia
13	VII	Elara	86	87	11778034	257.62	29.691	0.1948	1905	Perrine	Himalia
14	LIII	Dia	4	0.009	12570424	287.93	27.584	0.2058	2001	Sheppard et al.	Himalia?
15	XLVI	Carpo	3	0.0045	17144873	458.62	56.001	0.2735	2003	Sheppard et al.	Carpo
16	—	S/2003 J 12	1	0.00015	17739539	−482.69	142.68	0.4449	2003	Sheppard et al.	?
17	XXXIV	Euporie	2	0.0015	19088434	−538.78	144.694	0.096	2002	Sheppard et al.	Ananke
18	—	S/2003 J 3	2	0.0015	19621780	−561.52	146.363	0.2507	2003	Sheppard et al.	Ananke
19	—	S/2003 J 18	2	0.0015	19812577	−569.73	147.401	0.1569	2003	Gladman et al.	Ananke
20	—	S/2011 J 1	1		20155290	−582.22	162.8	0.2963	2011	Sheppard et al.	?
21	LII	S/2010 J 2	1		20307150	−588.36	150.4	0.307	2010	Veillet	Ananke?
22	XLII	Thelxinoe	2	0.0015	20453753	−597.61	151.292	0.2684	2003	Sheppard et al.	Ananke
23	XXXIII	Euanthe	3	0.0045	20464854	−598.09	143.409	0.2	2002	Sheppard et al.	Ananke
24	XLV	Helike	4	0.009	20540266	−601.40	154.586	0.1374	2003	Sheppard et al.	Ananke
25	XXXV	Orthosie	2	0.0015	20567971	−602.62	142.366	0.2433	2002	Sheppard et al.	Ananke
26	XXIV	Iocaste	5	0.019	20722566	−609.43	147.248	0.2874	2001	Sheppard et al.	Ananke
27	—	S/2003 J 16	2	0.0015	20743779	−610.36	150.769	0.3184	2003	Gladman et al.	Ananke
28	XXVII	Praxidike	7	0.043	20823948	−613.90	144.205	0.184	2001	Sheppard et al.	Ananke
